,TreeType,ScientificName,Family,Type
1,五葉松,Pinus morrisonicola Hayata,松科,Native
2,含笑花,Michelia figo (Lour.) Spreng.,木蘭科,Cultivated 
3,垂柳,Salix babylonica L.,楊柳科,Cultivated 
4,小梗木薑子,Litsea hypophaea Hayata,樟科,Native
5,山柿,"Diospyros japonica Siebold & Zucc.	",柿樹科,Native
6,柳丁,Citrus sinensis Osbeck,芸香科,Cultivated 
7,柳樹,NA,NA,NA
8,柿子,Diospyros kaki L.f.,柿樹科,Cultivated 
9,栗豆樹,Castanospermum australe A.Cunn. ex Mudie,豆科,Cultivated 
10,楊桐,Adinandra formosana Hayata var. fomosana,五列木科,Native
11,檸檬,Citrus limon Burm.f.,芸香科,Cultivated 
12,水同木,Ficus fistulosa Reinw. ex Blume,桑科,Native
13,澀葉榕,Ficus irisana Elmer,桑科,Native
14,爪哇旃那,Cassia javanica L.,豆科,Cultivated 
15,白木香,Excoecaria agallocha L.,大戟科,Native
16,臺東漆,Semecarpus gigantifolius S.Vidal,漆樹科,Native
17,荔枝,Litchi chinensis Sonn.,無患子科,Cultivated 
18,蒲姜木,Vitex quinata (Lour.) F.N.Williams,"	唇形科",Native
19,蘭嶼烏心石,Michelia compressa (Maxim.) Sarg. var. lanyuensis S.Y.Lu,木蘭科,Native
20,蛋黃果,Lucuma nervosa A.DC.,"山欖科	",Cultivated 
21,裡白蔥木,Aralia bipinnata Blanco,五加科,Native
22,西印度櫻桃,Muntingia calabura L.,文定果科,Naturalized 
23,賽赤楠,Syzygium acuminatissimum (Blume) DC.,桃金孃科,Native
24,釋迦,Annona squamosa L.,番荔枝科,Cultivated 
25,金剛纂,Euphorbia neriifolia L.,"大戟科	",Cultivated 
26,銀杏,Ginkgo biloba L.,銀杏科,Cultivated 
27,鵝掌柴,Schefflera octophylla (Lour.) Harms,五加科,Native
28,黃果垂榕,Ficus benjamina L.,桑科,Native
29,七里香,Murraya paniculata (L.) Jack.,芸香科,Native
30,串錢柳,Callistemon viminalis (Soland.) Cheel.,桃金孃科,Cultivated 
31,南洋含笑花,Michelia pilifera Bakh.,木蘭科,Cultivated 
32,厚皮香,Ternstroemia gymnanthera (Wight & Arn.) Sprague,五列木科,Native
33,李樹,Prunus salicina Lindl.,薔薇科,Cultivated 
34,桃樹,Prunus persica (L.) Batsch,薔薇科,Cultivated 
35,珊瑚樹,Viburnum odoratissimum Ker Gawl.,五福花科,Native
36,藍花楹,Jacaranda mimosifolia,紫葳科,Cultivated 
37,蘭嶼肉桂,Cinnamomum kotoense Kaneh. & Sasaki,"樟科	",Native
38,辣木,Moringa oleifera Lam.,"	辣木科",Cultivated 
39,野梨,Pyrus taiwanensis Iketani & H.Ohashi,"	薔薇科",Native
40,馬尼拉欖仁,Terminalia calamansanai (Blanco) Rolfe,使君子科,Cultivated 
41,黃鐘花,Tecoma stans (L.) Juss. ex H.B.K,"	紫葳科",Cultivated 
42,孔雀椰子,Caryota urens L.,棕櫚科,Cultivated 
43,山陀兒,Sandoricum koetjape (Burm.f.) Merr.,楝科,Cultivated 
44,相思樹,Acacia confusa Merr.,豆科,Native
45,銀合歡,Leucaena leucocephala (Lam.) de Wit,豆科,Naturalized 
46,香水樹,Cananga odorata (Lam.) Hook.f. & Thoms.,番荔枝科,Cultivated 
47,魚木,Crateva adansonii DC. subsp. formosensis Jacobs,山柑科,Native
48,黃槿,Hibiscus tiliaceus L.,錦葵科,Native
49,九重葛,Bougainvillea spectabilis Willd.,紫茉莉科,Cultivated 
50,二葉松,Pinus taiwanensis Hayata,松科,Native
51,八重櫻,,,
52,加羅林魚木,Crateva religiosa G.Forst.,山柑科,Cultivated 
53,千頭木麻黃,Casuarina nana Sieber ex Spreng.,木麻黃科,Cultivated 
54,印度黃檀,Dalbergia sissoo DC.,豆科,Naturalized 
55,波羅蜜,Artocarpus heterophyllus Lam.,桑科,Cultivated 
